Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2015-01-01,100000.0,100000.0,0.0,0,
2015-01-02,100000.0,100000.0,0.0,0,
2015-01-05,100000.0,1583.5667114257812,98416.43328857422,5,
2015-01-06,96079.24573687435,207.8768403899776,95871.36889648438,5,
2015-01-07,96090.40965030344,5719.832898594454,90370.57675170898,5,
2015-01-08,98815.03202579172,5719.832898594454,93095.19912719727,5,
2015-01-09,97980.5464148298,5719.832898594454,92260.71351623535,5,
2015-01-12,97031.62424991281,5719.832898594454,91311.79135131836,5,
2015-01-13,97840.89076823088,6189.714193523847,91651.17657470703,5,
2015-01-14,94567.21523392599,6272.92961991232,88294.28561401367,5,
2015-01-15,95364.81292069357,6272.92961991232,89091.88330078125,5,
2015-01-16,93845.50082308266,1669.3408194205476,92176.16000366211,5,
2015-01-19,95636.32942110513,1669.3408194205476,93966.98860168457,5,
2015-01-20,95889.58619600747,1669.3408194205476,94220.24537658691,5,
2015-01-21,96369.34315513363,398.23414634457004,95971.10900878906,5,
2015-01-22,95735.2433197817,544.5510475954216,95190.69227218628,5,
2015-01-23,96281.48980263082,544.5510475954216,95736.9387550354,5,
2015-01-26,95499.9899913258,4116.742768425407,91383.24722290039,5,
2015-01-27,96566.44001116222,4116.742768425407,92449.69724273682,5,
2015-01-28,97920.06243624157,4116.742768425407,93803.31966781616,5,
2015-01-29,96467.18666567272,4116.742768425407,92350.44389724731,5,
2015-01-30,97039.52830233044,4116.742768425407,92922.78553390503,5,
2015-02-02,97046.97807039684,4116.742768425407,92930.23530197144,5,
2015-02-03,95846.28822576918,1581.005861877573,94265.2823638916,5,
2015-02-04,97175.12569296279,1581.005861877573,95594.1198310852,5,
2015-02-05,97943.3414902761,15616.718660838851,82326.62282943726,4,
2015-02-06,99189.21837473655,15616.718660838851,83572.4997138977,4,
2015-02-09,99742.56206751609,15616.718660838851,84125.84340667725,4,
2015-02-10,99880.25014735007,15616.718660838851,84263.53148651123,4,
2015-02-11,92374.24281550193,15616.718660838851,76757.52415466309,4,
2015-02-12,99207.76896471766,101.77611727502517,99105.99284744263,5,
2015-02-13,99290.51788515833,101.77611727502517,99188.7417678833,5,
2015-02-16,99065.54363055018,101.77611727502517,98963.76751327515,5,
2015-02-17,98469.71692131946,140.61871575305122,98329.0982055664,5,
2015-02-18,99797.32858132312,140.61871575305122,99656.70986557007,5,
2015-02-19,101127.86649941394,140.61871575305122,100987.24778366089,5,
2015-02-20,100643.26138543079,140.61871575305122,100502.64266967773,5,
2015-02-23,100485.1330246825,140.61871575305122,100344.51430892944,5,
2015-02-24,100781.0645127196,140.61871575305122,100640.44579696655,5,
2015-02-25,101193.30554436633,140.61871575305122,101052.68682861328,5,
2015-02-26,102758.73099373767,140.61871575305122,102618.11227798462,5,
2015-02-27,102285.32228707263,140.61871575305122,102144.70357131958,5,
2015-03-02,102772.83128212878,140.61871575305122,102632.21256637573,5,
2015-03-03,103447.73885582873,140.61871575305122,103307.12014007568,5,
2015-03-04,102806.19551875396,6456.955349228807,96349.24016952515,5,
2015-03-05,103011.37645747466,6456.955349228807,96554.42110824585,5,
2015-03-06,103249.15813472075,6456.955349228807,96792.20278549194,5,
2015-03-09,101634.81690623565,6456.955349228807,95177.86155700684,5,
2015-03-10,100571.5939845227,929.7300929211342,99641.86389160156,5,
2015-03-11,99716.29244033324,929.7300929211342,98786.56234741211,5,
2015-03-12,101294.97063247192,929.7300929211342,100365.24053955078,5,
2015-03-13,101924.89357558715,929.7300929211342,100995.16348266602,5,
2015-03-16,101919.67034047801,51.82726186472428,101867.84307861328,5,
2015-03-17,103785.13988393504,51.82726186472428,103733.31262207031,5,
2015-03-18,110227.65605825145,51.82726186472428,110175.82879638672,5,
2015-03-19,112569.65630239208,51.82726186472428,112517.82904052734,5,
2015-03-20,113013.70870286642,6317.740502182827,106695.9682006836,5,
2015-03-23,115635.22316819846,6317.740502182827,109317.48266601562,5,
2015-03-24,114361.48147640967,3748.085724456545,110613.39575195312,5,
2015-03-25,115160.51004086279,3748.085724456545,111412.42431640625,5,
2015-03-26,112642.57153439973,3912.6990978762915,108729.87243652344,5,
2015-03-27,113076.45373654817,3912.6990978762915,109163.75463867188,5,
2015-03-30,112148.50532256434,3221.327466119019,108927.17785644531,5,
2015-03-31,111175.01423369715,3221.327466119019,107953.68676757812,5,
2015-04-01,110196.5291708206,11626.732051679977,98569.79711914062,5,
2015-04-02,110475.84704191436,11626.732051679977,98849.11499023438,5,
2015-04-03,111867.46634856987,9339.077341001517,102528.38900756836,5,
2015-04-06,112317.55143157768,9339.077341001517,102978.47409057617,5,
2015-04-07,113433.51465789604,9339.077341001517,104094.43731689453,5,
2015-04-08,114132.18412200737,9339.077341001517,104793.10678100586,5,
2015-04-09,114461.72779266167,9339.077341001517,105122.65045166016,5,
2015-04-10,114769.66575042534,9339.077341001517,105430.58840942383,5,
2015-04-13,116250.7319472294,6374.24551229288,109876.48643493652,5,
