Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2023-01-04,100000,100000,0,0,
2023-01-05,100000,100000,0,0,
2023-01-06,100000,100000,0,0,
2023-01-10,100000,60163,39836,1,5401.T(GUERRILLA)
2023-01-11,101463,36888,64575,2,"5401.T(GUERRILLA), 6702.T(HOMERUN)"
2023-01-12,101499,24968,76531,3,"5401.T(GUERRILLA), 6702.T(HOMERUN), 6954.T(HOMERUN)"
2023-01-13,101588,41175,60412,3,"6702.T(HOMERUN), 6954.T(HOMERUN), 6506.T(HOMERUN)"
2023-01-16,101015,52754,48261,2,"6702.T(HOMERUN), 6506.T(HOMERUN)"
2023-01-17,102310,32864,69446,3,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN)"
2023-01-18,103912,32864,71048,3,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN)"
2023-01-19,103215,32864,70351,3,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN)"
2023-01-20,103103,19921,83181,4,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 5411.T(GUERRILLA)"
2023-01-23,104692,15600,89091,5,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 5411.T(GUERRILLA), 7735.T(HOMERUN)"
2023-01-24,105725,15600,90124,5,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 5411.T(GUERRILLA), 7735.T(HOMERUN)"
2023-01-25,106179,3158,103020,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 5411.T(GUERRILLA), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN)"
2023-01-26,105777,7344,98433,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 9434.T(HOMERUN), 6301.T(GUERRILLA)"
2023-01-27,107019,7344,99675,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 9434.T(HOMERUN), 6301.T(GUERRILLA)"
2023-01-30,107821,7344,100476,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 9434.T(HOMERUN), 6301.T(GUERRILLA)"
2023-01-31,107193,7344,99848,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 9434.T(HOMERUN), 6301.T(GUERRILLA)"
2023-02-01,107509,7344,100165,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 6954.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 9434.T(HOMERUN), 6301.T(GUERRILLA)"
2023-02-02,108163,19947,88216,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 9434.T(HOMERUN), 3436.T(GUERRILLA)"
2023-02-03,107947,16326,91621,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 3436.T(GUERRILLA), 8604.T(GUERRILLA)"
2023-02-06,107923,16326,91597,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 3436.T(GUERRILLA), 8604.T(GUERRILLA)"
2023-02-07,107636,16326,91310,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 3436.T(GUERRILLA), 8604.T(GUERRILLA)"
2023-02-08,107777,16326,91451,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 3436.T(GUERRILLA), 8604.T(GUERRILLA)"
2023-02-09,107336,10723,96612,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 3436.T(GUERRILLA), 8604.T(GUERRILLA), 8058.T(HOMERUN)"
2023-02-10,108618,10723,97894,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6723.T(HOMERUN), 6503.T(HOMERUN), 3436.T(GUERRILLA), 8604.T(GUERRILLA), 8058.T(HOMERUN)"
2023-02-13,107785,17054,90730,8,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6503.T(HOMERUN), 8604.T(GUERRILLA), 8058.T(HOMERUN), 7267.T(HOMERUN)"
2023-02-14,108123,10535,97588,9,"6702.T(HOMERUN), 6506.T(HOMERUN), 7735.T(HOMERUN), 6254.T(GUERRILLA), 6503.T(HOMERUN), 8604.T(GUERRILLA), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN)"
2023-02-15,108158,36315,71842,7,"6506.T(HOMERUN), 7735.T(HOMERUN), 6503.T(HOMERUN), 8604.T(GUERRILLA), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN)"
2023-02-16,109079,36315,72764,7,"6506.T(HOMERUN), 7735.T(HOMERUN), 6503.T(HOMERUN), 8604.T(GUERRILLA), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN)"
2023-02-17,108785,36315,72470,7,"6506.T(HOMERUN), 7735.T(HOMERUN), 6503.T(HOMERUN), 8604.T(GUERRILLA), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN)"
2023-02-20,109239,10676,98562,8,"6506.T(HOMERUN), 7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8306.T(GUERRILLA), 8766.T(HOMERUN)"
2023-02-21,108735,10676,98059,8,"6506.T(HOMERUN), 7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8306.T(GUERRILLA), 8766.T(HOMERUN)"
2023-02-22,107720,39160,68560,7,"7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8306.T(GUERRILLA), 8766.T(HOMERUN)"
2023-02-24,108143,21807,86336,8,"7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8766.T(HOMERUN), 2768.T(GUERRILLA), 6146.T(GUERRILLA)"
2023-02-27,108087,21807,86280,8,"7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8766.T(HOMERUN), 2768.T(GUERRILLA), 6146.T(GUERRILLA)"
2023-02-28,107932,21807,86125,8,"7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8766.T(HOMERUN), 2768.T(GUERRILLA), 6146.T(GUERRILLA)"
2023-03-01,108969,21807,87161,8,"7735.T(HOMERUN), 6503.T(HOMERUN), 8058.T(HOMERUN), 7267.T(HOMERUN), 6723.T(HOMERUN), 8766.T(HOMERUN), 2768.T(GUERRILLA), 6146.T(GUERRILLA)"
