Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2023-01-04,10000000,8000460,1999539,3,"2768.T, 3687.T, 5411.T"
2023-01-05,9976363,5604699,4371663,5,"2768.T, 3687.T, 5411.T, 4385.T, 5713.T"
2023-01-06,10030283,4094414,5935868,8,"2768.T, 3687.T, 5411.T, 4385.T, 5713.T, 6702.T, 7013.T, 7012.T"
2023-01-10,10105142,2867302,7237840,10,"2768.T, 3687.T, 5411.T, 4385.T, 5713.T, 6702.T, 7013.T, 7012.T, 2222.T, 5401.T"
2023-01-11,10163494,2440778,7722715,11,"2768.T, 3687.T, 5411.T, 4385.T, 5713.T, 6702.T, 7013.T, 7012.T, 2222.T, 5401.T, 6506.T"
2023-01-12,10204694,3198837,7005857,11,"2768.T, 3687.T, 5411.T, 4385.T, 6702.T, 7013.T, 7012.T, 2222.T, 5401.T, 6506.T, 6758.T"
2023-01-13,10303244,4043205,6260039,10,"2768.T, 3687.T, 4385.T, 6702.T, 7013.T, 7012.T, 2222.T, 6506.T, 6758.T, 4543.T"
2023-01-16,10149892,4706668,5443223,9,"2768.T, 3687.T, 4385.T, 2222.T, 6506.T, 6758.T, 4543.T, 3993.T, 5411.T"
2023-01-17,10148571,5423543,4725028,9,"2768.T, 3687.T, 6506.T, 6758.T, 4543.T, 3993.T, 5411.T, 5401.T, 5713.T"
2023-01-18,10275266,5423543,4851723,9,"2768.T, 3687.T, 6506.T, 6758.T, 4543.T, 3993.T, 5411.T, 5401.T, 5713.T"
2023-01-19,10239252,3800300,6438951,11,"2768.T, 3687.T, 6506.T, 6758.T, 4543.T, 3993.T, 5411.T, 5401.T, 5713.T, 2222.T, 4661.T"
2023-01-20,10307418,3161126,7146291,12,"2768.T, 3687.T, 6758.T, 4543.T, 3993.T, 5411.T, 5401.T, 5713.T, 2222.T, 4661.T, 5032.T, 6702.T"
