Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2015-03-09,100000,100000,0,0,
2015-03-10,100000,100000,0,0,
2015-03-11,100000,100000,0,0,
2015-03-12,100000,100000,0,0,
2015-03-13,100000,100000,0,0,
2015-03-16,100000,100000,0,0,
2015-03-17,100000,100000,0,0,
2015-03-18,100000,100000,0,0,
2015-03-19,100000,100000,0,0,
2015-03-20,100000,100000,0,0,
2015-03-23,100000,100000,0,0,
2015-03-24,100000,100000,0,0,
2015-03-25,100000,100000,0,0,
2015-03-26,100000,100000,0,0,
2015-03-27,100000,100000,0,0,
2015-03-30,100000,100000,0,0,
2015-03-31,100000,100000,0,0,
2015-04-01,100000,100000,0,0,
2015-04-02,100000,100000,0,0,
2015-04-03,100000,100000,0,0,
2015-04-06,100000,100000,0,0,
2015-04-07,100000,100000,0,0,
2015-04-08,100000,100000,0,0,
2015-04-09,100000,100000,0,0,
2015-04-10,100000,100000,0,0,
2015-04-13,100000,100000,0,0,
2015-04-14,100000,100000,0,0,
2015-04-15,100000,100000,0,0,
2015-04-16,100000,100000,0,0,
2015-04-17,100000,100000,0,0,
2015-04-20,100000,100000,0,0,
2015-04-21,100000,100000,0,0,
2015-04-22,100000,100000,0,0,
2015-04-23,100000,100000,0,0,
2015-04-24,100000,100000,0,0,
2015-04-27,100000,100000,0,0,
2015-04-28,100000,100000,0,0,
2015-04-30,100000,100000,0,0,
2015-05-01,100000,100000,0,0,
2015-05-07,100000,100000,0,0,
2015-05-08,100000,100000,0,0,
2015-05-11,100000,100000,0,0,
2015-05-12,100000,100000,0,0,
2015-05-13,100000,100000,0,0,
2015-05-14,100000,100000,0,0,
2015-05-15,100000,100000,0,0,
2015-05-18,100000,100000,0,0,
2015-05-19,100000,100000,0,0,
2015-05-20,100000,100000,0,0,
2015-05-21,100000,100000,0,0,
2015-05-22,100000,100000,0,0,
2015-05-25,100000,100000,0,0,
2015-05-26,100000,100000,0,0,
2015-05-27,100000,100000,0,0,
2015-05-28,100000,100000,0,0,
2015-05-29,100000,100000,0,0,
2015-06-01,100000,100000,0,0,
